iter	Passed	Remaining
1520	10393	23772
1521	10399	23763
1522	10405	23756
1523	10411	23747
1524	10417	23738
1525	10424	23730
1526	10429	23721
1527	10435	23712
1528	10442	23706
1529	10449	23700
1530	10456	23692
1531	10462	23684
1532	10469	23678
1533	10475	23669
1534	10481	23660
1535	10490	23658
1536	10499	23655
1537	10507	23651
1538	10514	23646
1539	10527	23652
1540	10534	23646
1541	10542	23641
1542	10548	23632
1543	10555	23626
1544	10561	23618
1545	10569	23613
1546	10575	23604
1547	10580	23595
1548	10604	23625
1549	10610	23616
1550	10617	23610
1551	10623	23602
1552	10630	23595
1553	10637	23588
1554	10643	23580
1555	10650	23573
1556	10656	23565
1557	10663	23557
1558	10669	23548
1559	10675	23541
1560	10682	23535
1561	10689	23526
1562	10695	23519
1563	10701	23510
1564	10707	23501
1565	10714	23495
1566	10720	23486
1567	10727	23479
1568	10733	23470
1569	10739	23463
1570	10745	23455
1571	10751	23446
1572	10758	23439
1573	10764	23430
1574	10771	23422
1575	10777	23414
1576	10783	23405
1577	10789	23398
1578	10795	23389
1579	10802	23381
1580	10808	23373
1581	10814	23365
1582	10821	23359
1583	10827	23350
1584	10834	23344
1585	10841	23336
1586	10846	23327
1587	10854	23322
1588	10861	23315
1589	10868	23309
1590	10874	23300
1591	10881	23293
1592	10887	23284
1593	10894	23279
1594	10900	23270
1595	10906	23262
1596	10913	23255
1597	10919	23245
1598	10925	23238
1599	10931	23230
1600	10938	23222
1601	10944	23214
1602	10950	23206
1603	10957	23199
1604	10963	23190
1605	10970	23184
1606	10976	23175
1607	10982	23166
1608	10989	23160
1609	10995	23151
1610	11002	23145
1611	11008	23137
1612	11014	23128
1613	11021	23121
1614	11027	23112
1615	11034	23107
1616	11040	23098
1617	11046	23090
1618	11053	23082
1619	11058	23073
1620	11066	23067
1621	11072	23058
1622	11079	23052
1623	11085	23044
1624	11091	23036
1625	11098	23030
1626	11104	23021
1627	11111	23014
1628	11117	23005
1629	11122	22996
1630	11129	22990
1631	11136	22981
1632	11143	22975
1633	11149	22967
1634	11156	22960
1635	11162	22952
1636	11168	22944
1637	11175	22937
1638	11181	22929
1639	11189	22924
1640	11195	22917
1641	11203	22911
1642	11210	22905
1643	11217	22899
1644	11225	22893
1645	11231	22886
1646	11238	22879
1647	11244	22871
1648	11252	22867
1649	11259	22860
1650	11267	22856
1651	11274	22848
1652	11282	22845
1653	11288	22836
1654	11296	22832
1655	11302	22823
1656	11310	22818
1657	11316	22810
1658	11322	22802
1659	11342	22822
1660	11350	22816
1661	11357	22810
1662	11364	22803
1663	11370	22796
1664	11378	22790
1665	11384	22782
